DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,4295;05.03.2026
944;AZN;1;Азербайджанский манат;45,7652;05.03.2026
12;DZD;100;Алжирских динаров;59,5306;05.03.2026
51;AMD;100;Армянских драмов;20,5899;05.03.2026
764;THB;10;Батов;24,5716;05.03.2026
48;BHD;1;Бахрейнский динар;206,8726;05.03.2026
933;BYN;1;Белорусский рубль;26,9291;05.03.2026
68;BOB;1;Боливиано;11,2592;05.03.2026
986;BRL;1;Бразильский реал;14,7163;05.03.2026
410;KRW;1000;Вон;53,1245;05.03.2026
344;HKD;10;Гонконгских долларов;99,7064;05.03.2026
980;UAH;10;Гривен;17,9039;05.03.2026
208;DKK;1;Датская крона;12,0871;05.03.2026
784;AED;1;Дирхам ОАЭ;21,1847;05.03.2026
840;USD;1;Доллар США;77,8009;05.03.2026
704;VND;10000;Донгов;31,0558;05.03.2026
978;EUR;1;Евро;90,7458;05.03.2026
818;EGP;10;Египетских фунтов;15,5019;05.03.2026
985;PLN;1;Злотый;21,1588;05.03.2026
392;JPY;100;Иен;49,3473;05.03.2026
356;INR;100;Индийских рупий;84,307;05.03.2026
364;IRR;1000000;Иранских риалов;58,8139;05.03.2026
124;CAD;1;Канадский доллар;56,8554;05.03.2026
634;QAR;1;Катарский риал;21,3739;05.03.2026
192;CUP;10;Кубинских песо;32,417;05.03.2026
104;MMK;1000;Кьятов;37,048;05.03.2026
981;GEL;1;Лари;28,8986;05.03.2026
498;MDL;10;Молдавских леев;44,6475;05.03.2026
566;NGN;1000;Найр;56,2027;05.03.2026
554;NZD;1;Новозеландский доллар;45,7197;05.03.2026
934;TMT;1;Новый туркменский манат;22,2288;05.03.2026
578;NOK;10;Норвежских крон;80,2733;05.03.2026
512;OMR;1;Оманский риал;202,343;05.03.2026
946;RON;1;Румынский лей;17,7628;05.03.2026
360;IDR;10000;Рупий;46,1179;05.03.2026
710;ZAR;10;Рэндов;47,1535;05.03.2026
682;SAR;1;Саудовский риял;20,7469;05.03.2026
960;XDR;1;СДР (специальные права заимствования);106,073;05.03.2026
941;RSD;100;Сербских динаров;76,844;05.03.2026
702;SGD;1;Сингапурский доллар;60,9057;05.03.2026
417;KGS;100;Сомов;88,9662;05.03.2026
972;TJS;10;Сомони;81,4047;05.03.2026
50;BDT;100;Так;63,606;05.03.2026
398;KZT;100;Тенге;15,6198;05.03.2026
496;MNT;1000;Тугриков;21,8177;05.03.2026
949;TRY;10;Турецких лир;17,7099;05.03.2026
860;UZS;10000;Узбекских сумов;63,8769;05.03.2026
348;HUF;100;Форинтов;23,403;05.03.2026
826;GBP;1;Фунт стерлингов;103,4908;05.03.2026
203;CZK;10;Чешских крон;37,0304;05.03.2026
752;SEK;10;Шведских крон;84,1801;05.03.2026
756;CHF;1;Швейцарский франк;99,3118;05.03.2026
230;ETB;100;Эфиопских быров;49,8771;05.03.2026
156;CNY;1;Юань;11,2488;05.03.2026
643;RUB;1;Российский рубль;1;05.03.2026
