DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;55,1474;06.03.2026
944;AZN;1;Азербайджанский манат;45,9941;06.03.2026
12;DZD;100;Алжирских динаров;59,8097;06.03.2026
51;AMD;100;Армянских драмов;20,7076;06.03.2026
764;THB;10;Батов;24,7398;06.03.2026
48;BHD;1;Бахрейнский динар;207,9072;06.03.2026
933;BYN;1;Белорусский рубль;26,95;06.03.2026
68;BOB;1;Боливиано;11,3155;06.03.2026
986;BRL;1;Бразильский реал;15,0111;06.03.2026
410;KRW;1000;Вон;52,874;06.03.2026
344;HKD;10;Гонконгских долларов;100,1409;06.03.2026
980;UAH;10;Гривен;17,8855;06.03.2026
208;DKK;1;Датская крона;12,1907;06.03.2026
784;AED;1;Дирхам ОАЭ;21,2907;06.03.2026
840;USD;1;Доллар США;78,19;06.03.2026
704;VND;10000;Донгов;31,2073;06.03.2026
978;EUR;1;Евро;90,7926;06.03.2026
818;EGP;10;Египетских фунтов;15,5888;06.03.2026
985;PLN;1;Злотый;21,264;06.03.2026
392;JPY;100;Иен;49,9361;06.03.2026
356;INR;100;Индийских рупий;85,3346;06.03.2026
364;IRR;1000000;Иранских риалов;58,8139;06.03.2026
124;CAD;1;Канадский доллар;57,2234;06.03.2026
634;QAR;1;Катарский риал;21,4808;06.03.2026
192;CUP;10;Кубинских песо;32,5792;06.03.2026
104;MMK;1000;Кьятов;37,2333;06.03.2026
981;GEL;1;Лари;28,7104;06.03.2026
498;MDL;10;Молдавских леев;45,1115;06.03.2026
566;NGN;1000;Найр;56,3696;06.03.2026
554;NZD;1;Новозеландский доллар;46,4879;06.03.2026
934;TMT;1;Новый туркменский манат;22,34;06.03.2026
578;NOK;10;Норвежских крон;81,0461;06.03.2026
512;OMR;1;Оманский риал;203,355;06.03.2026
946;RON;1;Румынский лей;17,8178;06.03.2026
360;IDR;10000;Рупий;46,2362;06.03.2026
710;ZAR;10;Рэндов;47,3867;06.03.2026
682;SAR;1;Саудовский риял;20,8507;06.03.2026
960;XDR;1;СДР (специальные права заимствования);106,8114;06.03.2026
941;RSD;100;Сербских динаров;77,2036;06.03.2026
702;SGD;1;Сингапурский доллар;61,239;06.03.2026
417;KGS;100;Сомов;89,4178;06.03.2026
972;TJS;10;Сомони;81,6614;06.03.2026
50;BDT;100;Так;63,8677;06.03.2026
398;KZT;100;Тенге;15,6433;06.03.2026
496;MNT;1000;Тугриков;21,93;06.03.2026
949;TRY;10;Турецких лир;17,7977;06.03.2026
860;UZS;10000;Узбекских сумов;64,219;06.03.2026
348;HUF;100;Форинтов;23,5392;06.03.2026
826;GBP;1;Фунт стерлингов;104,5009;06.03.2026
203;CZK;10;Чешских крон;37,3864;06.03.2026
752;SEK;10;Шведских крон;85,2962;06.03.2026
756;CHF;1;Швейцарский франк;100,3465;06.03.2026
230;ETB;100;Эфиопских быров;50,0994;06.03.2026
156;CNY;1;Юань;11,3486;06.03.2026
643;RUB;1;Российский рубль;1;06.03.2026
