DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;56,7929;17.03.2026
944;AZN;1;Азербайджанский манат;47,6775;17.03.2026
12;DZD;100;Алжирских динаров;61,182;17.03.2026
51;AMD;100;Армянских драмов;21,4758;17.03.2026
764;THB;10;Батов;24,9597;17.03.2026
48;BHD;1;Бахрейнский динар;215,5165;17.03.2026
933;BYN;1;Белорусский рубль;27,5097;17.03.2026
68;BOB;1;Боливиано;11,7296;17.03.2026
986;BRL;1;Бразильский реал;15,4273;17.03.2026
410;KRW;1000;Вон;54,4154;17.03.2026
344;HKD;1;Гонконгский доллар;10,3686;17.03.2026
980;UAH;10;Гривен;18,3632;17.03.2026
208;DKK;1;Датская крона;12,4475;17.03.2026
784;AED;1;Дирхам ОАЭ;22,0699;17.03.2026
840;USD;1;Доллар США;81,0517;17.03.2026
704;VND;10000;Донгов;32,3327;17.03.2026
978;EUR;1;Евро;92,6555;17.03.2026
818;EGP;10;Египетских фунтов;15,4737;17.03.2026
985;PLN;1;Злотый;21,7373;17.03.2026
392;JPY;100;Иен;50,8448;17.03.2026
356;INR;100;Индийских рупий;87,7215;17.03.2026
364;IRR;1000000;Иранских риалов;58,8139;17.03.2026
124;CAD;1;Канадский доллар;59,0928;17.03.2026
634;QAR;1;Катарский риал;22,267;17.03.2026
192;CUP;10;Кубинских песо;33,7715;17.03.2026
104;MMK;1000;Кьятов;38,596;17.03.2026
981;GEL;1;Лари;29,7001;17.03.2026
498;MDL;10;Молдавских леев;46,3871;17.03.2026
566;NGN;1000;Найр;59,3249;17.03.2026
554;NZD;1;Новозеландский доллар;47,0465;17.03.2026
934;TMT;1;Новый туркменский манат;23,1576;17.03.2026
578;NOK;10;Норвежских крон;83,3539;17.03.2026
512;OMR;1;Оманский риал;210,7977;17.03.2026
946;RON;1;Румынский лей;18,2471;17.03.2026
360;IDR;10000;Рупий;47,8633;17.03.2026
710;ZAR;10;Рэндов;48,0628;17.03.2026
682;SAR;1;Саудовский риял;21,6138;17.03.2026
960;XDR;1;СДР (специальные права заимствования);110,0642;17.03.2026
941;RSD;100;Сербских динаров;78,942;17.03.2026
702;SGD;1;Сингапурский доллар;63,2623;17.03.2026
417;KGS;100;Сомов;92,6835;17.03.2026
972;TJS;10;Сомони;84,3691;17.03.2026
50;BDT;100;Так;65,9723;17.03.2026
398;KZT;100;Тенге;16,4977;17.03.2026
496;MNT;1000;Тугриков;22,7255;17.03.2026
949;TRY;10;Турецких лир;18,3955;17.03.2026
860;UZS;10000;Узбекских сумов;67,0335;17.03.2026
348;HUF;100;Форинтов;23,6945;17.03.2026
826;GBP;1;Фунт стерлингов;107,3043;17.03.2026
203;CZK;10;Чешских крон;38,0864;17.03.2026
752;SEK;10;Шведских крон;86,4893;17.03.2026
756;CHF;1;Швейцарский франк;102,7011;17.03.2026
230;ETB;100;Эфиопских быров;51,6193;17.03.2026
156;CNY;1;Юань;11,7441;17.03.2026
643;RUB;1;Российский рубль;1;17.03.2026
