DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;55,093;12.02.2026
944;AZN;1;Азербайджанский манат;45,5675;12.02.2026
12;DZD;100;Алжирских динаров;59,9225;12.02.2026
51;AMD;100;Армянских драмов;20,5199;12.02.2026
764;THB;10;Батов;24,9003;12.02.2026
48;BHD;1;Бахрейнский динар;205,9789;12.02.2026
933;BYN;1;Белорусский рубль;26,9875;12.02.2026
68;BOB;1;Боливиано;11,2105;12.02.2026
986;BRL;1;Бразильский реал;14,8919;12.02.2026
410;KRW;1000;Вон;53,1418;12.02.2026
344;HKD;10;Гонконгских долларов;99,2757;12.02.2026
980;UAH;10;Гривен;17,9773;12.02.2026
208;DKK;1;Датская крона;12,3318;12.02.2026
784;AED;1;Дирхам ОАЭ;21,0932;12.02.2026
840;USD;1;Доллар США;77,4648;12.02.2026
704;VND;10000;Донгов;30,9241;12.02.2026
978;EUR;1;Евро;92,475;12.02.2026
818;EGP;10;Египетских фунтов;16,5341;12.02.2026
985;PLN;1;Злотый;21,8908;12.02.2026
392;JPY;100;Иен;49,6251;12.02.2026
356;INR;100;Индийских рупий;85,5327;12.02.2026
364;IRR;1000000;Иранских риалов;60,3254;12.02.2026
124;CAD;1;Канадский доллар;57,1949;12.02.2026
634;QAR;1;Катарский риал;21,2815;12.02.2026
192;CUP;10;Кубинских песо;32,277;12.02.2026
104;MMK;1000;Кьятов;36,888;12.02.2026
981;GEL;1;Лари;28,8638;12.02.2026
498;MDL;10;Молдавских леев;45,8331;12.02.2026
566;NGN;1000;Найр;57,338;12.02.2026
554;NZD;1;Новозеландский доллар;46,8391;12.02.2026
934;TMT;1;Новый туркменский манат;22,1328;12.02.2026
578;NOK;10;Норвежских крон;81,4536;12.02.2026
512;OMR;1;Оманский риал;201,4689;12.02.2026
946;RON;1;Румынский лей;18,1412;12.02.2026
360;IDR;10000;Рупий;46,1127;12.02.2026
710;ZAR;10;Рэндов;48,7912;12.02.2026
682;SAR;1;Саудовский риял;20,6573;12.02.2026
960;XDR;1;СДР (специальные права заимствования);106,8456;12.02.2026
941;RSD;100;Сербских динаров;78,7238;12.02.2026
702;SGD;1;Сингапурский доллар;61,3243;12.02.2026
417;KGS;100;Сомов;88,5818;12.02.2026
972;TJS;10;Сомони;82,355;12.02.2026
50;BDT;100;Так;63,3269;12.02.2026
398;KZT;100;Тенге;15,7487;12.02.2026
496;MNT;1000;Тугриков;21,7228;12.02.2026
949;TRY;10;Турецких лир;17,7736;12.02.2026
860;UZS;10000;Узбекских сумов;63,0446;12.02.2026
348;HUF;100;Форинтов;24,4014;12.02.2026
826;GBP;1;Фунт стерлингов;105,9254;12.02.2026
203;CZK;10;Чешских крон;37,9767;12.02.2026
752;SEK;10;Шведских крон;86,8108;12.02.2026
756;CHF;1;Швейцарский франк;101,1818;12.02.2026
230;ETB;100;Эфиопских быров;50,0497;12.02.2026
156;CNY;1;Юань;11,1681;12.02.2026
