DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,7468;03.03.2026
944;AZN;1;Азербайджанский манат;45,3961;03.03.2026
12;DZD;100;Алжирских динаров;59,2589;03.03.2026
51;AMD;100;Армянских драмов;20,4769;03.03.2026
764;THB;10;Батов;24,649;03.03.2026
48;BHD;1;Бахрейнский динар;205,4705;03.03.2026
933;BYN;1;Белорусский рубль;26,8887;03.03.2026
68;BOB;1;Боливиано;11,1684;03.03.2026
986;BRL;1;Бразильский реал;14,9875;03.03.2026
410;KRW;1000;Вон;54,1758;03.03.2026
344;HKD;10;Гонконгских долларов;98,8262;03.03.2026
980;UAH;10;Гривен;17,9058;03.03.2026
208;DKK;1;Датская крона;12,1928;03.03.2026
784;AED;1;Дирхам ОАЭ;21,0139;03.03.2026
840;USD;1;Доллар США;77,1734;03.03.2026
704;VND;10000;Донгов;30,8225;03.03.2026
978;EUR;1;Евро;90,7307;03.03.2026
818;EGP;10;Египетских фунтов;15,6754;03.03.2026
985;PLN;1;Злотый;21,4038;03.03.2026
392;JPY;100;Иен;49,3436;03.03.2026
356;INR;100;Индийских рупий;84,3873;03.03.2026
364;IRR;1000000;Иранских риалов;58,8139;03.03.2026
124;CAD;1;Канадский доллар;56,5704;03.03.2026
634;QAR;1;Катарский риал;21,2015;03.03.2026
192;CUP;10;Кубинских песо;32,1556;03.03.2026
104;MMK;1000;Кьятов;36,7492;03.03.2026
981;GEL;1;Лари;28,8402;03.03.2026
498;MDL;10;Молдавских леев;45,0279;03.03.2026
566;NGN;1000;Найр;56,6038;03.03.2026
554;NZD;1;Новозеландский доллар;46,0918;03.03.2026
934;TMT;1;Новый туркменский манат;22,0495;03.03.2026
578;NOK;10;Норвежских крон;81,2805;03.03.2026
512;OMR;1;Оманский риал;200,7111;03.03.2026
946;RON;1;Румынский лей;17,7696;03.03.2026
360;IDR;10000;Рупий;45,994;03.03.2026
710;ZAR;10;Рэндов;47,7257;03.03.2026
682;SAR;1;Саудовский риял;20,5796;03.03.2026
960;XDR;1;СДР (специальные права заимствования);106,0957;03.03.2026
941;RSD;100;Сербских динаров;77,2793;03.03.2026
702;SGD;1;Сингапурский доллар;60,8911;03.03.2026
417;KGS;100;Сомов;88,2534;03.03.2026
972;TJS;10;Сомони;80,9998;03.03.2026
50;BDT;100;Так;63,0679;03.03.2026
398;KZT;100;Тенге;15,5104;03.03.2026
496;MNT;1000;Тугриков;21,6378;03.03.2026
949;TRY;10;Турецких лир;17,6036;03.03.2026
860;UZS;10000;Узбекских сумов;63,3058;03.03.2026
348;HUF;100;Форинтов;23,8779;03.03.2026
826;GBP;1;Фунт стерлингов;103,7442;03.03.2026
203;CZK;10;Чешских крон;37,5704;03.03.2026
752;SEK;10;Шведских крон;85,4282;03.03.2026
756;CHF;1;Швейцарский франк;99,9655;03.03.2026
230;ETB;100;Эфиопских быров;49,4601;03.03.2026
156;CNY;1;Юань;11,196;03.03.2026
643;RUB;1;Российский рубль;1;03.03.2026
