DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;55,1336;04.03.2026
944;AZN;1;Азербайджанский манат;45,6525;04.03.2026
12;DZD;100;Алжирских динаров;59,4608;04.03.2026
51;AMD;100;Армянских драмов;20,5866;04.03.2026
764;THB;10;Батов;24,7882;04.03.2026
48;BHD;1;Бахрейнский динар;206,3631;04.03.2026
933;BYN;1;Белорусский рубль;26,8581;04.03.2026
68;BOB;1;Боливиано;11,2314;04.03.2026
986;BRL;1;Бразильский реал;14,9254;04.03.2026
410;KRW;1000;Вон;54,0681;04.03.2026
344;HKD;10;Гонконгских долларов;99,6396;04.03.2026
980;UAH;10;Гривен;17,9509;04.03.2026
208;DKK;1;Датская крона;12,1517;04.03.2026
784;AED;1;Дирхам ОАЭ;21,1326;04.03.2026
840;USD;1;Доллар США;77,6093;04.03.2026
704;VND;10000;Донгов;30,9867;04.03.2026
978;EUR;1;Евро;90,3098;04.03.2026
818;EGP;10;Египетских фунтов;15,5564;04.03.2026
985;PLN;1;Злотый;21,078;04.03.2026
392;JPY;100;Иен;49,3039;04.03.2026
356;INR;100;Индийских рупий;84,864;04.03.2026
364;IRR;1000000;Иранских риалов;58,8139;04.03.2026
124;CAD;1;Канадский доллар;56,6988;04.03.2026
634;QAR;1;Катарский риал;21,3212;04.03.2026
192;CUP;10;Кубинских песо;32,3372;04.03.2026
104;MMK;1000;Кьятов;36,9568;04.03.2026
981;GEL;1;Лари;28,8275;04.03.2026
498;MDL;10;Молдавских леев;45,0366;04.03.2026
566;NGN;1000;Найр;56,3192;04.03.2026
554;NZD;1;Новозеландский доллар;46,1426;04.03.2026
934;TMT;1;Новый туркменский манат;22,1741;04.03.2026
578;NOK;10;Норвежских крон;81,1253;04.03.2026
512;OMR;1;Оманский риал;201,8447;04.03.2026
946;RON;1;Румынский лей;17,6626;04.03.2026
360;IDR;10000;Рупий;46,0644;04.03.2026
710;ZAR;10;Рэндов;47,7085;04.03.2026
682;SAR;1;Саудовский риял;20,6958;04.03.2026
960;XDR;1;СДР (специальные права заимствования);106,369;04.03.2026
941;RSD;100;Сербских динаров;77,1526;04.03.2026
702;SGD;1;Сингапурский доллар;60,9848;04.03.2026
417;KGS;100;Сомов;88,7476;04.03.2026
972;TJS;10;Сомони;81,3285;04.03.2026
50;BDT;100;Так;63,4331;04.03.2026
398;KZT;100;Тенге;15,4416;04.03.2026
496;MNT;1000;Тугриков;21,76;04.03.2026
949;TRY;10;Турецких лир;17,6688;04.03.2026
860;UZS;10000;Узбекских сумов;63,5628;04.03.2026
348;HUF;100;Форинтов;23,3707;04.03.2026
826;GBP;1;Фунт стерлингов;103,7714;04.03.2026
203;CZK;10;Чешских крон;37,4255;04.03.2026
752;SEK;10;Шведских крон;84,7846;04.03.2026
756;CHF;1;Швейцарский франк;98,7521;04.03.2026
230;ETB;100;Эфиопских быров;49,7878;04.03.2026
156;CNY;1;Юань;11,221;04.03.2026
643;RUB;1;Российский рубль;1;04.03.2026
