DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,0778;08.05.2026
944;AZN;1;Азербайджанский манат;43,8946;08.05.2026
12;DZD;100;Алжирских динаров;56,4809;08.05.2026
51;AMD;100;Армянских драмов;20,2071;08.05.2026
764;THB;10;Батов;23,1268;08.05.2026
48;BHD;1;Бахрейнский динар;198,417;08.05.2026
933;BYN;1;Белорусский рубль;26,4745;08.05.2026
68;BOB;1;Боливиано;10,799;08.05.2026
986;BRL;1;Бразильский реал;15,145;08.05.2026
410;KRW;1000;Вон;51,2225;08.05.2026
344;HKD;10;Гонконгских долларов;95,2648;08.05.2026
980;UAH;10;Гривен;17,0355;08.05.2026
208;DKK;1;Датская крона;11,7456;08.05.2026
784;AED;1;Дирхам ОАЭ;20,3188;08.05.2026
840;USD;1;Доллар США;74,6209;08.05.2026
704;VND;10000;Донгов;29,7141;08.05.2026
978;EUR;1;Евро;87,8897;08.05.2026
818;EGP;10;Египетских фунтов;14,1604;08.05.2026
985;PLN;1;Злотый;20,7736;08.05.2026
392;JPY;100;Иен;47,7268;08.05.2026
356;INR;100;Индийских рупий;78,734;08.05.2026
364;IRR;1000000;Иранских риалов;50,8419;08.05.2026
124;CAD;1;Канадский доллар;54,7676;08.05.2026
634;QAR;1;Катарский риал;20,5002;08.05.2026
192;CUP;10;Кубинских песо;31,092;08.05.2026
104;MMK;1000;Кьятов;35,5338;08.05.2026
981;GEL;1;Лари;27,7577;08.05.2026
498;MDL;10;Молдавских леев;43,6209;08.05.2026
566;NGN;1000;Найр;54,976;08.05.2026
554;NZD;1;Новозеландский доллар;44,5002;08.05.2026
934;TMT;1;Новый туркменский манат;21,3203;08.05.2026
578;NOK;10;Норвежских крон;80,5372;08.05.2026
512;OMR;1;Оманский риал;194,0726;08.05.2026
946;RON;1;Румынский лей;16,6836;08.05.2026
360;IDR;10000;Рупий;42,8733;08.05.2026
710;ZAR;10;Рэндов;45,796;08.05.2026
682;SAR;1;Саудовский риял;19,8989;08.05.2026
960;XDR;1;СДР (специальные права заимствования);102,7485;08.05.2026
941;RSD;100;Сербских динаров;74,7181;08.05.2026
702;SGD;1;Сингапурский доллар;58,8539;08.05.2026
417;KGS;100;Сомов;85,3586;08.05.2026
972;TJS;10;Сомони;79,6058;08.05.2026
50;BDT;100;Так;60,747;08.05.2026
398;KZT;100;Тенге;16,1026;08.05.2026
496;MNT;1000;Тугриков;20,8659;08.05.2026
949;TRY;10;Турецких лир;16,5148;08.05.2026
860;UZS;10000;Узбекских сумов;61,594;08.05.2026
348;HUF;100;Форинтов;24,6274;08.05.2026
826;GBP;1;Фунт стерлингов;101,5068;08.05.2026
203;CZK;10;Чешских крон;36,1395;08.05.2026
752;SEK;10;Шведских крон;81,0164;08.05.2026
756;CHF;1;Швейцарский франк;95,9508;08.05.2026
230;ETB;100;Эфиопских быров;47,4295;08.05.2026
156;CNY;1;Юань;10,9709;08.05.2026
643;RUB;1;Российский рубль;1;08.05.2026
