DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;53,6791;09.05.2026
944;AZN;1;Азербайджанский манат;43,7037;09.05.2026
12;DZD;100;Алжирских динаров;56,2025;09.05.2026
51;AMD;100;Армянских драмов;20,134;09.05.2026
764;THB;10;Батов;23,0476;09.05.2026
48;BHD;1;Бахрейнский динар;197,5539;09.05.2026
933;BYN;1;Белорусский рубль;26,4654;09.05.2026
68;BOB;1;Боливиано;10,752;09.05.2026
986;BRL;1;Бразильский реал;15,111;09.05.2026
410;KRW;1000;Вон;51,2106;09.05.2026
344;HKD;10;Гонконгских долларов;94,8867;09.05.2026
980;UAH;10;Гривен;16,9414;09.05.2026
208;DKK;1;Датская крона;11,7022;09.05.2026
784;AED;1;Дирхам ОАЭ;20,2304;09.05.2026
840;USD;1;Доллар США;74,2963;09.05.2026
704;VND;10000;Донгов;29,586;09.05.2026
978;EUR;1;Евро;88,549;09.05.2026
818;EGP;10;Египетских фунтов;14,0988;09.05.2026
985;PLN;1;Злотый;20,6683;09.05.2026
392;JPY;100;Иен;47,3255;09.05.2026
356;INR;100;Индийских рупий;78,6733;09.05.2026
364;IRR;1000000;Иранских риалов;50,6207;09.05.2026
124;CAD;1;Канадский доллар;54,4894;09.05.2026
634;QAR;1;Катарский риал;20,4111;09.05.2026
192;CUP;10;Кубинских песо;30,9568;09.05.2026
104;MMK;1000;Кьятов;35,3792;09.05.2026
981;GEL;1;Лари;27,6462;09.05.2026
498;MDL;10;Молдавских леев;43,3124;09.05.2026
566;NGN;1000;Найр;54,7968;09.05.2026
554;NZD;1;Новозеландский доллар;44,1171;09.05.2026
934;TMT;1;Новый туркменский манат;21,2275;09.05.2026
578;NOK;10;Норвежских крон;80,4665;09.05.2026
512;OMR;1;Оманский риал;193,2283;09.05.2026
946;RON;1;Румынский лей;16,6984;09.05.2026
360;IDR;10000;Рупий;42,7925;09.05.2026
710;ZAR;10;Рэндов;45,2293;09.05.2026
682;SAR;1;Саудовский риял;19,8123;09.05.2026
960;XDR;1;СДР (специальные права заимствования);102,2235;09.05.2026
941;RSD;100;Сербских динаров;74,2899;09.05.2026
702;SGD;1;Сингапурский доллар;58,5517;09.05.2026
417;KGS;100;Сомов;84,9873;09.05.2026
972;TJS;10;Сомони;79,3162;09.05.2026
50;BDT;100;Так;60,4827;09.05.2026
398;KZT;100;Тенге;16,0325;09.05.2026
496;MNT;1000;Тугриков;20,7756;09.05.2026
949;TRY;10;Турецких лир;16,4382;09.05.2026
860;UZS;10000;Узбекских сумов;61,1898;09.05.2026
348;HUF;100;Форинтов;24,6104;09.05.2026
826;GBP;1;Фунт стерлингов;101,2733;09.05.2026
203;CZK;10;Чешских крон;35,9823;09.05.2026
752;SEK;10;Шведских крон;80,7822;09.05.2026
756;CHF;1;Швейцарский франк;95,4597;09.05.2026
230;ETB;100;Эфиопских быров;47,2343;09.05.2026
156;CNY;1;Юань;10,9306;09.05.2026
643;RUB;1;Российский рубль;1;09.05.2026
