DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;53,8397;19.02.2026
944;AZN;1;Азербайджанский манат;44,7955;19.02.2026
12;DZD;100;Алжирских динаров;58,7321;19.02.2026
51;AMD;100;Армянских драмов;20,1627;19.02.2026
764;THB;10;Батов;24,3563;19.02.2026
48;BHD;1;Бахрейнский динар;202,4892;19.02.2026
933;BYN;1;Белорусский рубль;26,7521;19.02.2026
68;BOB;1;Боливиано;11,0206;19.02.2026
986;BRL;1;Бразильский реал;14,5649;19.02.2026
410;KRW;1000;Вон;52,759;19.02.2026
344;HKD;10;Гонконгских долларов;97,6188;19.02.2026
980;UAH;10;Гривен;17,6044;19.02.2026
208;DKK;1;Датская крона;12,055;19.02.2026
784;AED;1;Дирхам ОАЭ;20,7358;19.02.2026
840;USD;1;Доллар США;76,1524;19.02.2026
704;VND;10000;Донгов;30,4014;19.02.2026
978;EUR;1;Евро;90,2683;19.02.2026
818;EGP;10;Египетских фунтов;16,1985;19.02.2026
985;PLN;1;Злотый;21,3851;19.02.2026
392;JPY;100;Иен;49,7078;19.02.2026
356;INR;100;Индийских рупий;83,9914;19.02.2026
364;IRR;1000000;Иранских риалов;59,0358;19.02.2026
124;CAD;1;Канадский доллар;55,7648;19.02.2026
634;QAR;1;Катарский риал;20,921;19.02.2026
192;CUP;10;Кубинских песо;31,7302;19.02.2026
104;MMK;1000;Кьятов;36,263;19.02.2026
981;GEL;1;Лари;28,4267;19.02.2026
498;MDL;10;Молдавских леев;44,7177;19.02.2026
566;NGN;1000;Найр;57,0021;19.02.2026
554;NZD;1;Новозеландский доллар;45,8818;19.02.2026
934;TMT;1;Новый туркменский манат;21,7578;19.02.2026
578;NOK;10;Норвежских крон;79,8277;19.02.2026
512;OMR;1;Оманский риал;198,0557;19.02.2026
946;RON;1;Румынский лей;17,6909;19.02.2026
360;IDR;10000;Рупий;45,2104;19.02.2026
710;ZAR;10;Рэндов;47,6533;19.02.2026
682;SAR;1;Саудовский риял;20,3073;19.02.2026
960;XDR;1;СДР (специальные права заимствования);104,8999;19.02.2026
941;RSD;100;Сербских динаров;76,8234;19.02.2026
702;SGD;1;Сингапурский доллар;60,3618;19.02.2026
417;KGS;100;Сомов;87,0811;19.02.2026
972;TJS;10;Сомони;80,576;19.02.2026
50;BDT;100;Так;62,2515;19.02.2026
398;KZT;100;Тенге;15,5416;19.02.2026
496;MNT;1000;Тугриков;21,3566;19.02.2026
949;TRY;10;Турецких лир;17,4295;19.02.2026
860;UZS;10000;Узбекских сумов;62,7674;19.02.2026
348;HUF;100;Форинтов;23,8603;19.02.2026
826;GBP;1;Фунт стерлингов;102,8286;19.02.2026
203;CZK;10;Чешских крон;37,1077;19.02.2026
752;SEK;10;Шведских крон;84,5771;19.02.2026
756;CHF;1;Швейцарский франк;98,7197;19.02.2026
230;ETB;100;Эфиопских быров;49,2504;19.02.2026
156;CNY;1;Юань;11,0137;19.02.2026
