DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,4272;13.04.2026
944;AZN;1;Азербайджанский манат;45,2779;13.04.2026
12;DZD;100;Алжирских динаров;58,2127;13.04.2026
51;AMD;100;Армянских драмов;20,4861;13.04.2026
764;THB;10;Батов;23,9253;13.04.2026
48;BHD;1;Бахрейнский динар;204,6696;13.04.2026
933;BYN;1;Белорусский рубль;26,9426;13.04.2026
68;BOB;1;Боливиано;11,1393;13.04.2026
986;BRL;1;Бразильский реал;15,1467;13.04.2026
410;KRW;1000;Вон;51,9698;13.04.2026
344;HKD;10;Гонконгских долларов;98,4428;13.04.2026
980;UAH;10;Гривен;17,7116;13.04.2026
208;DKK;1;Датская крона;12,036;13.04.2026
784;AED;1;Дирхам ОАЭ;20,9591;13.04.2026
840;USD;1;Доллар США;76,9724;13.04.2026
704;VND;10000;Донгов;30,6602;13.04.2026
978;EUR;1;Евро;90,012;13.04.2026
818;EGP;10;Египетских фунтов;14,4848;13.04.2026
985;PLN;1;Злотый;21,1486;13.04.2026
392;JPY;100;Иен;48,3404;13.04.2026
356;INR;100;Индийских рупий;83,0794;13.04.2026
364;IRR;1000000;Иранских риалов;55,1923;13.04.2026
124;CAD;1;Канадский доллар;55,6924;13.04.2026
634;QAR;1;Катарский риал;21,1463;13.04.2026
192;CUP;10;Кубинских песо;32,0718;13.04.2026
104;MMK;1000;Кьятов;36,6535;13.04.2026
981;GEL;1;Лари;28,5453;13.04.2026
498;MDL;10;Молдавских леев;44,654;13.04.2026
566;NGN;1000;Найр;56,6258;13.04.2026
554;NZD;1;Новозеландский доллар;45,0519;13.04.2026
934;TMT;1;Новый туркменский манат;21,9921;13.04.2026
578;NOK;10;Норвежских крон;80,8364;13.04.2026
512;OMR;1;Оманский риал;200,1883;13.04.2026
946;RON;1;Румынский лей;17,6425;13.04.2026
360;IDR;10000;Рупий;45,0605;13.04.2026
710;ZAR;10;Рэндов;46,7568;13.04.2026
682;SAR;1;Саудовский риял;20,526;13.04.2026
960;XDR;1;СДР (специальные права заимствования);105,3075;13.04.2026
941;RSD;100;Сербских динаров;76,502;13.04.2026
702;SGD;1;Сингапурский доллар;60,4084;13.04.2026
417;KGS;100;Сомов;88,0188;13.04.2026
972;TJS;10;Сомони;80,8169;13.04.2026
50;BDT;100;Так;62,6076;13.04.2026
398;KZT;100;Тенге;16,0419;13.04.2026
496;MNT;1000;Тугриков;21,5419;13.04.2026
949;TRY;10;Турецких лир;17,2776;13.04.2026
860;UZS;10000;Узбекских сумов;63,307;13.04.2026
348;HUF;100;Форинтов;23,8711;13.04.2026
826;GBP;1;Фунт стерлингов;103,2585;13.04.2026
203;CZK;10;Чешских крон;37,0077;13.04.2026
752;SEK;10;Шведских крон;82,6941;13.04.2026
756;CHF;1;Швейцарский франк;97,4088;13.04.2026
230;ETB;100;Эфиопских быров;49,2102;13.04.2026
156;CNY;1;Юань;11,2521;13.04.2026
643;RUB;1;Российский рубль;1;13.04.2026
