DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,927;13.02.2026
944;AZN;1;Азербайджанский манат;45,4047;13.02.2026
12;DZD;100;Алжирских динаров;59,6172;13.02.2026
51;AMD;100;Армянских драмов;20,4434;13.02.2026
764;THB;10;Батов;24,8617;13.02.2026
48;BHD;1;Бахрейнский динар;205,2429;13.02.2026
933;BYN;1;Белорусский рубль;26,9474;13.02.2026
68;BOB;1;Боливиано;11,1705;13.02.2026
986;BRL;1;Бразильский реал;14,8917;13.02.2026
410;KRW;1000;Вон;53,0721;13.02.2026
344;HKD;10;Гонконгских долларов;98,9336;13.02.2026
980;UAH;10;Гривен;17,9374;13.02.2026
208;DKK;1;Датская крона;12,2968;13.02.2026
784;AED;1;Дирхам ОАЭ;21,0178;13.02.2026
840;USD;1;Доллар США;77,188;13.02.2026
704;VND;10000;Донгов;30,8136;13.02.2026
978;EUR;1;Евро;91,7113;13.02.2026
818;EGP;10;Египетских фунтов;16,4847;13.02.2026
985;PLN;1;Злотый;21,7793;13.02.2026
392;JPY;100;Иен;50,4167;13.02.2026
356;INR;100;Индийских рупий;85,2015;13.02.2026
364;IRR;1000000;Иранских риалов;60,0893;13.02.2026
124;CAD;1;Канадский доллар;56,8646;13.02.2026
634;QAR;1;Катарский риал;21,2055;13.02.2026
192;CUP;10;Кубинских песо;32,1617;13.02.2026
104;MMK;1000;Кьятов;36,7562;13.02.2026
981;GEL;1;Лари;28,7693;13.02.2026
498;MDL;10;Молдавских леев;45,6588;13.02.2026
566;NGN;1000;Найр;57,2207;13.02.2026
554;NZD;1;Новозеландский доллар;46,7142;13.02.2026
934;TMT;1;Новый туркменский манат;22,0537;13.02.2026
578;NOK;10;Норвежских крон;81,5389;13.02.2026
512;OMR;1;Оманский риал;200,749;13.02.2026
946;RON;1;Румынский лей;18,0005;13.02.2026
360;IDR;10000;Рупий;45,9973;13.02.2026
710;ZAR;10;Рэндов;48,585;13.02.2026
682;SAR;1;Саудовский риял;20,5835;13.02.2026
960;XDR;1;СДР (специальные права заимствования);106,5742;13.02.2026
941;RSD;100;Сербских динаров;78,0489;13.02.2026
702;SGD;1;Сингапурский доллар;61,1729;13.02.2026
417;KGS;100;Сомов;88,2653;13.02.2026
972;TJS;10;Сомони;81,9066;13.02.2026
50;BDT;100;Так;63,1006;13.02.2026
398;KZT;100;Тенге;15,734;13.02.2026
496;MNT;1000;Тугриков;21,6486;13.02.2026
949;TRY;10;Турецких лир;17,7027;13.02.2026
860;UZS;10000;Узбекских сумов;62,8793;13.02.2026
348;HUF;100;Форинтов;24,1062;13.02.2026
826;GBP;1;Фунт стерлингов;105,2304;13.02.2026
203;CZK;10;Чешских крон;37,8837;13.02.2026
752;SEK;10;Шведских крон;86,9498;13.02.2026
756;CHF;1;Швейцарский франк;100,479;13.02.2026
230;ETB;100;Эфиопских быров;49,7201;13.02.2026
156;CNY;1;Юань;11,1582;13.02.2026
