DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,3007;17.02.2026
944;AZN;1;Азербайджанский манат;45,0706;17.02.2026
12;DZD;100;Алжирских динаров;59,1539;17.02.2026
51;AMD;100;Армянских драмов;20,2876;17.02.2026
764;THB;10;Батов;24,6907;17.02.2026
48;BHD;1;Бахрейнский динар;203,7328;17.02.2026
933;BYN;1;Белорусский рубль;26,8428;17.02.2026
68;BOB;1;Боливиано;11,0883;17.02.2026
986;BRL;1;Бразильский реал;14,6543;17.02.2026
410;KRW;1000;Вон;53,0831;17.02.2026
344;HKD;10;Гонконгских долларов;98,2183;17.02.2026
980;UAH;10;Гривен;17,7765;17.02.2026
208;DKK;1;Датская крона;12,1654;17.02.2026
784;AED;1;Дирхам ОАЭ;20,8632;17.02.2026
840;USD;1;Доллар США;76,6201;17.02.2026
704;VND;10000;Донгов;30,8174;17.02.2026
978;EUR;1;Евро;91,0368;17.02.2026
818;EGP;10;Египетских фунтов;16,3788;17.02.2026
985;PLN;1;Злотый;21,6032;17.02.2026
392;JPY;100;Иен;50,0523;17.02.2026
356;INR;100;Индийских рупий;84,4648;17.02.2026
364;IRR;1000000;Иранских риалов;59,721;17.02.2026
124;CAD;1;Канадский доллар;56,2804;17.02.2026
634;QAR;1;Катарский риал;21,0495;17.02.2026
192;CUP;10;Кубинских песо;31,925;17.02.2026
104;MMK;1000;Кьятов;36,4858;17.02.2026
981;GEL;1;Лари;28,5821;17.02.2026
498;MDL;10;Молдавских леев;45,1208;17.02.2026
566;NGN;1000;Найр;56,5288;17.02.2026
554;NZD;1;Новозеландский доллар;46,2287;17.02.2026
934;TMT;1;Новый туркменский манат;21,8915;17.02.2026
578;NOK;10;Норвежских крон;80,2464;17.02.2026
512;OMR;1;Оманский риал;199,272;17.02.2026
946;RON;1;Румынский лей;17,8435;17.02.2026
360;IDR;10000;Рупий;45,5367;17.02.2026
710;ZAR;10;Рэндов;48,2148;17.02.2026
682;SAR;1;Саудовский риял;20,432;17.02.2026
960;XDR;1;СДР (специальные права заимствования);105,6047;17.02.2026
941;RSD;100;Сербских динаров;77,4481;17.02.2026
702;SGD;1;Сингапурский доллар;60,7325;17.02.2026
417;KGS;100;Сомов;87,6159;17.02.2026
972;TJS;10;Сомони;81,1121;17.02.2026
50;BDT;100;Так;62,6459;17.02.2026
398;KZT;100;Тенге;15,4476;17.02.2026
496;MNT;1000;Тугриков;21,4877;17.02.2026
949;TRY;10;Турецких лир;17,5805;17.02.2026
860;UZS;10000;Узбекских сумов;62,8482;17.02.2026
348;HUF;100;Форинтов;24,0732;17.02.2026
826;GBP;1;Фунт стерлингов;104,2953;17.02.2026
203;CZK;10;Чешских крон;37,4615;17.02.2026
752;SEK;10;Шведских крон;85,5373;17.02.2026
756;CHF;1;Швейцарский франк;99,5842;17.02.2026
230;ETB;100;Эфиопских быров;49,2504;17.02.2026
156;CNY;1;Юань;11,0859;17.02.2026
