DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;56,2936;26.03.2026
944;AZN;1;Азербайджанский манат;47,4819;26.03.2026
12;DZD;100;Алжирских динаров;60,9895;26.03.2026
51;AMD;100;Армянских драмов;21,3996;26.03.2026
764;THB;10;Батов;24,7173;26.03.2026
48;BHD;1;Бахрейнский динар;214,6324;26.03.2026
933;BYN;1;Белорусский рубль;27,3615;26.03.2026
68;BOB;1;Боливиано;11,6815;26.03.2026
986;BRL;1;Бразильский реал;15,347;26.03.2026
410;KRW;1000;Вон;53,8739;26.03.2026
344;HKD;1;Гонконгский доллар;10,3446;26.03.2026
980;UAH;10;Гривен;18,3785;26.03.2026
208;DKK;1;Датская крона;12,5026;26.03.2026
784;AED;1;Дирхам ОАЭ;21,9794;26.03.2026
840;USD;1;Доллар США;80,7192;26.03.2026
704;VND;10000;Донгов;32,1539;26.03.2026
978;EUR;1;Евро;93,8097;26.03.2026
818;EGP;10;Египетских фунтов;15,318;26.03.2026
985;PLN;1;Злотый;21,9328;26.03.2026
392;JPY;100;Иен;50,8852;26.03.2026
356;INR;100;Индийских рупий;85,9028;26.03.2026
364;IRR;1000000;Иранских риалов;58,8139;26.03.2026
124;CAD;1;Канадский доллар;58,6579;26.03.2026
634;QAR;1;Катарский риал;22,1756;26.03.2026
192;CUP;10;Кубинских песо;33,633;26.03.2026
104;MMK;1000;Кьятов;38,4377;26.03.2026
981;GEL;1;Лари;29,7133;26.03.2026
498;MDL;10;Молдавских леев;46,3033;26.03.2026
566;NGN;1000;Найр;58,3808;26.03.2026
554;NZD;1;Новозеландский доллар;47,136;26.03.2026
934;TMT;1;Новый туркменский манат;23,0626;26.03.2026
578;NOK;10;Норвежских крон;83,1737;26.03.2026
512;OMR;1;Оманский риал;210,7977;26.03.2026
946;RON;1;Румынский лей;18,3816;26.03.2026
360;IDR;10000;Рупий;47,5322;26.03.2026
710;ZAR;10;Рэндов;47,8639;26.03.2026
682;SAR;1;Саудовский риял;21,5251;26.03.2026
960;XDR;1;СДР (специальные права заимствования);110,0873;26.03.2026
941;RSD;100;Сербских динаров;79,6598;26.03.2026
702;SGD;1;Сингапурский доллар;63,1161;26.03.2026
417;KGS;100;Сомов;92,3041;26.03.2026
972;TJS;10;Сомони;84,6229;26.03.2026
50;BDT;100;Так;65,7207;26.03.2026
398;KZT;100;Тенге;16,7353;26.03.2026
496;MNT;1000;Тугриков;22,6284;26.03.2026
949;TRY;10;Турецких лир;18,2196;26.03.2026
860;UZS;10000;Узбекских сумов;66,3176;26.03.2026
348;HUF;100;Форинтов;24,0723;26.03.2026
826;GBP;1;Фунт стерлингов;108,0184;26.03.2026
203;CZK;10;Чешских крон;38,1868;26.03.2026
752;SEK;10;Шведских крон;86,2989;26.03.2026
756;CHF;1;Швейцарский франк;102,1633;26.03.2026
230;ETB;100;Эфиопских быров;51,3804;26.03.2026
156;CNY;1;Юань;11,6947;26.03.2026
643;RUB;1;Российский рубль;1;26.03.2026
